Species,Site,Adult Male,Adult Female,Juvenile/Sub-Adult,Unknown,%Juv,%Males,%adults
Green,L.Hithadhoo,9,12,56,22,56.57,9.09,21.21
Green,L.HithadhooW,3,0,18,10,58.06,9.68,9.68
Green,L.Olhuveli,2,7,30,3,71.43,4.76,21.43
Green,Lh.Caves,8,22,28,0,48.28,13.79,51.72
Green,Lh.Express,4,4,20,1,68.97,13.79,27.59
Green,Lh.KHR,7,18,33,1,55.93,11.86,42.37
,,,,,,,,
Species,Site,Adult Male,Adult Female,Juvenile/Sub-Adult,Unknown,,,
Hawksbill,A.Dhidhdhoo,1,0,38,63,37.25,0.98,0.98
Hawksbill,B.Dhonfanu,0,2,25,13,62.50,0.00,5.00
Hawksbill,K.BHHR,1,1,39,0,95.12,2.44,4.88
Hawksbill,K.BHTR,1,1,57,2,93.44,1.64,3.28
Hawksbill,L.Hithadhoo,2,2,39,4,82.98,4.26,8.51
Hawksbill,L.Olhuveli,2,0,30,13,66.67,4.44,4.44
,,,,,,,,
Hawksbill,K.Makunudhoo,5,63,100,9,56.50,2.82,38.42
Hawksbill,K.MakunudhooW,0,17,35,2,64.81,0.00,31.48